,main_cate,sub_cate,title
73,news,,"2월엔 소드&실드로 내 포켓몬 데려오기, '포켓몬 홈' 상세 정보 공개 "
74,news,,"'다잉라이트' 배틀로얄 모드, ""본편 있으면 공짜로 받으세요"" "
75,news,,네오위즈 모바일 신작 ‘위드 히어로즈’ 29일 정식 출시 
76,news,인터뷰," 유니티 코리아 ""엔진의 핵심 가치 '게임' 놓치지 않겠다"""
77,news,,‘헌터스 아레나: 레전드’ CBT 2월 20일 진행  
78,news,영상, 헌터가 아니라 라이더! 신작 모바일 게임 '몬스터헌터 라이더즈' 공개  
79,news,,"'우한 폐렴 사태 관련' 라이엇 코리아, ""LCK 면밀히 검토 중""  "
80,news,,"아타리, ""미국에 최초로 게임 테마 호텔 건설한다"" "
81,news,,"별이 된 NBA 전설 코비 브라이언트, 게임서도 이어지는 애도 물결 "
82,news,,일본 전쟁범죄 다루는 인디게임 '웬즈데이' 텀블벅 펀딩 시작  
83,news,루머," 코나미, '사일런트 힐' 시리즈 리부트 준비중? "
84,news,,"토치라이트3, 2020년 스팀 출시 예정  "
85,news,,"헌터스 아레나: 레전드, 'WWE 로얄럼블' 팬들 만났다 "
86,news,순위분석," '마비노기'가 보여준 선한 영향력, 순위 반등 이끌었다 "
87,news,리뷰," 넷플릭스 드라큘라, 어땠어요? "
88,news,IP를 찾아서#16, 애니메이션 게임의 명작 - '날아라 슈퍼보드 -환상서유기-' 
89,news,기자수첩, 우리는 '자동사냥'을 어떻게 바라보아야 하는가? [
90,news,인터뷰," VSPN 코리아 김기호 대표 ""보여주고 싶던 e스포츠 만들겠다"" "
91,news,인터뷰," 레전드 오브 룬테라 OBT ""진입 장벽 확 낮췄다"" "
92,news,,"청와대가 만난 페이커, ""게임이 좋은 문화가 되도록 노력하겠다""  ["
93,news,,"카운터사이드, 아이돌 컨셉 '하트베리' 최초 공개  "
94,news,,"넷마블 방준혁 의장, 웅진코웨이 사내이사에 선임 "
95,news,인터뷰, 용의 해 마무리와 메타의 새 바람! 하스스톤 1인 모험 '갈라크론드의 부활' 
96,news,,검증받은 1인 개발 작품 '세이크리드 스톤즈' 스위치판 23일 발매 
97,news,,"85레벨 이상 장비만 드랍! 에픽세븐, 월드보스 정식 오픈  "
98,news,기획," 2020, 올해는 '뭔가' 보여줄 국산 기대작 7선 "
99,news,인터뷰," '애니팡2' 리마스터, ""영혼만 뽑아서 새 몸에 옮겼다"""
100,news,,"레전드 오브 룬테라, 25일 OBT 시작... 첫 시즌 랭크 도전  "
101,news,,"그랑사가, ""비주얼, 스토리, 즐거움의 혁신을 보여주겠다"" "
102,news,체험, 실력과 운의 절묘한 밸런스 - 프로젝트 랜타디 CBT 후기
103,news,인터뷰," 음악에 담긴 사람과 사람의 이야기, 리니지2M 작곡가를 만나다 "
104,news,,"영국 국민보건서비스, ""게임 내 확률형 아이템 금지해야""  "
105,news,정정원 칼럼," 확률형 아이템 논란, 해결의 실마리를 고민하다 "
106,news,,워3 리포지드가 온다! 1/2월 신작 총정리  
107,news,,소년챔프 대표작 '캡틴 츠바사' 축구게임으로 나온다 
108,news,취재, 개발자를 꿈꾸는 고등학생들이 모였다! 조텍과 함께한 하이톤 공모전 풍경 
109,news,,"'다크사이더스 제네시스' 한국어판, 2월 15일 출격 "
110,news,리뷰," AMD 3세대 쓰레드리퍼 프로세서 지원, 전문가용 하이엔드 메인보드 기가바이트 TRX40 AORUS XTREME"
111,news,,"'미스트오버', 23일에 PS4와 스위치로 출시한다 "
112,news,종합," 3월 출시 예정인 A3, ""MMORPG+배틀로얄+e스포츠의 융합 시도"" "
113,news,할인 정보, 설 연휴는 고든 프리맨과! '하프라이프' 시리즈 무료플레이 전환 
114,news,,"""오늘부터 사전등록 시작"" A3: 스틸얼라이브 3월 출시된다 "
115,news,,"NDC 2020, 6월 8일부터 11일까지 4일간 열린다 "
116,news,,"돌아온 손맛 게임, '애니팡2' 리마스터 버전 22일 공개 "
117,news,,"'TJ의 쿠폰' 등장! 리니지2M, 상아탑의 현자들 업데이트  "
118,news,,루이 비통 협업 'True Damage 세나 프레스티지 스킨' 공개  
119,news,인터뷰," 경기게임아카데미 ""창업이 두렵다고요? 저희가 지원해드립니다"""
120,news,뉴스," 신카드로 메타변화? 하스스톤 1인 모험 ""갈라크론드의 부활"" 출시!  "
121,news,기자수첩," 왜 디펜스+수집형 RPG를 선택했을까, '명일방주'로 보는 사례  "
122,news,,"일본 최대 통신사 NTT 동일본, 'e스포츠 전문 기업' 설립한다  "
123,news,리뷰," '삼국지14', 왕좌 탈환의 길은 아직도 멀다 "
124,news,,"올 봄 출시 예고했던 '다잉 라이트2', 완성도 위해 무기한 연기  "
125,news,,"레드사하라 직접 개발, '테라 히어로' 로고 공개  "
126,news,,"검은사막, 테라 품은 '엑스클라우드', 한국어 게임 대폭 추가 "
127,news,,"엑스클라우드 ""1월 21일 프리뷰 확장! 더 많은 한국어화 타이틀 제공하겠다"""
128,news,리뷰, 단점투성이 '드래곤볼 Z 카카로트'를 꼭 해보라고 말하는 이유 
129,news,순위분석," 마비노기 영웅전, 신규 영웅 '레서' 추가 후 5단계 상승 "
130,news,풍경기," ""유저들과의 소통이 최우선"" 제닉스, 2020년 소비자 간담회  "
131,news,,2020년 상반기 '모탈컴뱃' 애니메이션 나온다 
132,news,,"닌텐도, '터치펜 내장 조이콘' 특허 신청  "
133,news,,"김용 후보 ""판교에 e스포츠 박람회 'e스타' 만들겠다"" "
134,news,,아빠가 딸을 위해 만들어 준 컨트롤러 
135,news,,"이승철, 박보검 참여! '달빛조각사' 20일 OST 음원 공개  "
136,news,,"수도권 최대 게임쇼 열리는 '킨텍스', 제3전시장 건립 확정 "
137,news,인터뷰," 김홍규 PD, ""소울워커 3주년, 2020년에는 더 나아질 것"" "
138,news,관람기," 어라, 왜 눈물이? '엘소드 홀로그램 콘서트'  "
139,news,뉴스, 우승자는 Flurry! 하스스톤 인벤 컵 성황리 종료  
140,news,기획, 이런 것도 될 수 있어? '이색 시뮬레이터' 8선
141,news,인터뷰, 신규 PvP 콘텐츠에 서버 이전까지! '건쉽배틀: 토탈워페어'의 2020년
142,news,프리뷰," 카운터사이드 vs 명일방주, 한판 붙는다! "
143,news,뉴스," '그리핀 사태 청원', 박양우 문화체육부장관이 답하다  "
144,news,ASMR, 파이리가 '꿀잠' 재워 드려요 
145,news,생생 20분, 연필로 그린 오픈월드 RPG '데빌북' CBT  
146,news,할인 정보," 호주 산불에 '전액 기부', 29게임 담은 험블 번들 공개 "
147,news,,"실시간 전략 게임 '미니막스', Steam과 모바일로 정식 출시 "
148,news,,"직관하면 카드팩 기본 지급! 18일, 하스스톤 인벤 컵 오프라인 결승전 진행  "
149,news,,누구나 참여 가능! '데빌북' 17일부터 CBT 시작 
150,news,,"'사이버펑크2077', 9월 17일로 발매 연기  "
151,news,,"위정현 학회장 ""3N 대표, 게임업계를 위해 입을 열어라""  "
152,news,,"미호요 '원신', 16일부터 CBT 테스터 모집  "
153,news,리뷰," 포스터 하나로 20만장 돌파! 연금술 미소녀와의 만남, 라이자의 아틀리에 "
154,news,1월 신작게임, 드래곤볼-삼국지-용과같이-워크3까지! 설날부터 풀로 즐긴다  
155,news,,"'투 더 문', 유니티 엔진으로 리메이크 된 닌텐도 스위치 버전 출시 "
156,news,,"요스타의 국내 첫 진출작! '명일방주', 16일 양대 마켓 동시 출시  "
157,news,,"오버워치, 전세계 유일 한국만을 위해 제작한 신규 스킨 영상 공개  "
158,news,인터뷰," 하드코어 RPG의 부흥 꿈꾼다, R2의 새해 첫 대규모 업데이트 "
159,news,,"고대신의 광기가 찾아온다! WoW, ‘느조스의 환영’ 16일 적용  "
160,news,,"이윤열과 랜디 원작자 개발 참여 '프로젝트 랜타디', Steam CBT 시작 "
161,news,개봉기," 삼국지 명장을 내 책장에, '삼국지 14 트레져 박스' 언박싱  ["
162,news,,"네오위즈, '메탈유닛' 4일 Steam 얼리엑세스 출시한다  "
163,news,,"배틀그라운드, 신규 맵 ‘카라킨’ 1월 22일에 적용  "
164,news,,"리니지2M, 오락가락한 영구제재 조치 논란  "
165,news,,"1분기 얼리엑세스 준비 중 '라스트 오아시스', 한국어 지원 예정 "
166,news,기획, 다시 찾아온 사냥의 시간! 몬스터헌터 월드 아이스본 추천 컴퓨터 견적  
167,news,,"SK텔레콤, MS와 국내 첫 Xbox 개발자 행사 개최 "
168,news,인터뷰," 10년 연재 웹툰, 게임이 되다 - '나이트런: 레콘키스타' "
169,news,,"에픽 게임즈 스토어, 7,876억 원 매출 달성  "
170,news,영상," 악마를 별모양으로 썰어봐야지, '둠 이터널' 신규 트레일러 공개 "
171,news,,"작년의 나를 돌아보는 시간, '플레이스테이션 2019 연말정산' 공개 "
172,news,,"제페토, '서바이벌 프렌지' Steam 무료 서비스 실시 "
173,news,,신규 캐릭터 추가! '헌터스 아레나: 레전드' 인게임 트레일러 공개 
174,news,,"영웅은 아직 바쁘다, '마블 어벤져스' 9월로 출시"
175,news,,"파이널판타지7 리메이크, 출시 4월 10일로 변경 ""최상의 퀄리티 위해""  "
176,news,기자수첩," 확률형 아이템, 투명하게 공개한다고 뭐가 달라지나?  "
177,news,리뷰, 러스티레이크 순한 맛 '더 화이트 도어'
178,news,,"'원신', 닌텐도 스위치도 지원한다  "
179,news,,소녀들의 선생님 출격! 모바일 슈팅 '하트인걸' 양대 마켓 출시 
180,news,,"""공정위 주체 확률형 아이템 규제, 득보다 실이 크다""  "
181,news,생생 20분," 나관중도 피해갈 수 없었던 여성화, '삼국지난무'  "
182,news,종합," 카운터사이드, ""2020년 넥슨의 '퀄리티 스타트' 책임진다"" "
183,news,기자수첩, 확실히 달랐던 '로스트아크' 감사제 [
184,news,,류금태의 '카운터사이드' 2월 4일 출격  
185,news,,"소니, E3 2년 연속 불참... PS5 독자 행사서 공개하나 "
186,news,,"조이시티, 신작 ‘블레스 모바일’ 티저 사이트 오픈  "
187,news,기획, 메타크리틱 게임 점수로 보는 '2010년대 돌아보기' 
188,news,,시간 절반! 재미 2배! '오토체스' 확 달라졌다  
189,news,,"한콘진, ""질병코드 도입하면 게임업계는 33조 원 손실""  "
190,news,,"넷마블, 권영식ᆞ이승원 각자 대표 체제로 전환 "
191,news,순위분석, 최고 레벨 확장한 '던전앤파이터' 7위로 도약 
192,news,,"게임에 대한 인식, ""질병-비질병 프레임에서 벗어나야"" "
193,news,,"""PC/콘솔 이용하는 게이머, 과몰입 위험 낮았다""  "
